                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.70179,                0.47951,                0.81473,                0.90669,                 0.7822,                0.85171,                0.68875,                0.55743,                0.37686,                0.81733,               0.003367,               0.003367,               0.003367
                    136,                0.71084,                0.48246,                0.81442,                0.90315,                 0.7856,                0.85176,                0.68876,                0.55793,                0.37654,                0.81723,              0.0033175,              0.0033175,              0.0033175
                    137,                0.69603,                0.47389,                0.81121,                0.90128,                0.78797,                 0.8518,                0.68806,                0.55673,                0.37524,                0.81697,               0.003268,               0.003268,               0.003268
                    138,                0.69758,                0.47575,                0.81289,                 0.9025,                0.78719,                0.85159,                0.68732,                0.55802,                0.37574,                0.81711,              0.0032185,              0.0032185,              0.0032185
                    139,                0.69893,                0.47774,                0.81253,                0.90274,                0.78808,                 0.8517,                0.68895,                0.55395,                0.37295,                0.81623,               0.003169,               0.003169,               0.003169
                    140,                0.69494,                0.47544,                 0.8129,                0.90317,                 0.7858,                0.85155,                0.69046,                0.55444,                0.37328,                0.81629,              0.0031195,              0.0031195,              0.0031195
                    141,                0.69304,                0.47496,                0.81302,                0.89893,                 0.7903,                0.85155,                 0.6897,                0.55472,                0.37351,                0.81605,                0.00307,                0.00307,                0.00307
                    142,                0.69109,                 0.4727,                0.81301,                 0.8981,                0.78893,                 0.8522,                0.69025,                0.55366,                 0.3734,                0.81588,              0.0030205,              0.0030205,              0.0030205
                    143,                0.69342,                 0.4743,                0.81043,                  0.898,                 0.7901,                0.85242,                0.68954,                0.55368,                0.37268,                 0.8156,               0.002971,               0.002971,               0.002971
                    144,                0.69415,                0.47436,                0.81362,                0.89345,                0.79303,                0.85133,                0.69005,                0.55154,                0.37203,                0.81531,              0.0029215,              0.0029215,              0.0029215
                    145,                0.69237,                0.47406,                0.81356,                 0.8974,                0.79015,                0.85276,                0.68996,                0.55169,                0.37118,                0.81536,               0.002872,               0.002872,               0.002872
